T,basis,m_type,x_w_loading,rho,phi,batches,iterations_per_batch,K,valid_replications,size_5,size_5_error_abs,mean,mean_error_abs,var,var_error_abs,q95,q95_error_abs,ks_stat,ks_p,smoothness,dimension,lower_bound,selected_K,upper_bound,bound_region
500,legendre,mixed,2.0,0.99,0.5,8,30,1,240,0.45,0.4,4.4711420534337325,3.4711420534337325,20.822913751397454,18.822913751397454,12.76244410913283,8.920985288438706,0.49246991183060607,3.1083954504981906e-54,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,mixed,2.0,0.99,0.5,8,30,2,240,0.07916666666666666,0.02916666666666666,1.2061962988248742,0.20619629882487422,2.8811533055509693,0.8811533055509693,5.151703134160657,1.3102443134665331,0.058015412265256305,0.3799276791433074,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,mixed,2.0,0.99,0.5,8,30,4,240,0.06666666666666667,0.016666666666666663,1.0103223108471608,0.010322310847160843,2.1994037408215332,0.19940374082153323,4.444605429132332,0.6031466084382076,0.04636347740123947,0.6630817977299801,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,mixed,2.0,0.99,0.5,8,30,6,240,0.0625,0.012499999999999997,1.0382609837656438,0.0382609837656438,2.053322778857126,0.053322778857125996,4.479123857179571,0.6376650364854473,0.0494043271199566,0.5838909733695936,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,mixed,2.0,0.99,0.5,8,30,8,240,0.06666666666666667,0.016666666666666663,1.131647039020706,0.13164703902070607,2.312246733019552,0.3122467330195522,4.160098065102606,0.31863924440848157,0.05652040922833357,0.4120849236215737,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,mixed,2.0,0.99,0.5,8,30,12,240,0.0625,0.012499999999999997,1.1767619648966785,0.1767619648966785,2.507156079234216,0.5071560792342158,3.9971966826794807,0.15573786198535666,0.07500569376824495,0.12765045248246132,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,mixed,2.0,0.99,0.5,8,30,16,240,0.0625,0.012499999999999997,1.1984693339050745,0.19846933390507449,3.1452622858642054,1.1452622858642054,4.917738312133891,1.076279491439767,0.07489649562150325,0.12866758824865066,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,mixed,2.0,0.99,0.5,8,30,20,240,0.06666666666666667,0.016666666666666663,1.0215879999609976,0.021587999960997584,1.9564003519143056,0.04359964808569439,4.323168644793205,0.48170982409908136,0.04687962982601912,0.6495837291651446,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,mixed,2.0,0.99,0.5,8,30,30,240,0.05416666666666667,0.004166666666666666,1.152151115058774,0.152151115058774,2.4128137129307854,0.4128137129307854,3.8633739796510707,0.021915158956946623,0.07185326691991223,0.1597663283997386,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,mixed,2.0,0.99,0.5,8,30,50,240,0.09166666666666666,0.04166666666666666,1.2904951138571008,0.2904951138571008,3.683434104767635,1.683434104767635,5.063122010775423,1.221663190081299,0.0775365988605956,0.10585672708590599,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,mixed,2.0,0.99,0.5,8,30,100,240,0.07083333333333333,0.02083333333333333,1.2306743335477677,0.23067433354776767,2.6715007428651605,0.6715007428651605,4.208600409561414,0.36714158886728976,0.10603377040081902,0.008370745700736244,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,mixed,2.0,0.99,0.5,8,30,150,240,0.07916666666666666,0.02916666666666666,1.23728922684448,0.23728922684447995,2.8802653255438604,0.8802653255438604,5.812536549395989,1.9710777287018648,0.0847914806820318,0.05979483593455526,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
