x,w,n,std_beta,std_p,rho_hat,sieve_p,adaptive_p,adaptive_q,adaptive_breaks,pattern_score
bm,ep,1200,0.003926866075626436,0.01138820130803903,0.9882085613171139,0.43788994553377214,0.43788994553377214,0,,0.5037253416096551
bm,lty,1200,0.003926866075626436,0.01138820130803903,0.9882085613171139,0.39874528554494193,0.39874528554494193,0,,0.46458068162082483
bm,tms,1200,0.003926866075626436,0.01138820130803903,0.9882085613171139,0.37724255148974606,0.37724255148974606,0,,0.44307794756562896
bm,svar,1200,0.003926866075626436,0.01138820130803903,0.9882085613171139,0.2698566165355024,0.2698566165355024,0,,0.3356920126113853
bm,ntis,1188,0.003919353316881232,0.012239818194941954,0.9883392618600182,0.2592598312001635,0.2592598312001635,0,,0.32254037661533763
ntis,dfy,1188,-0.003766180660359175,0.016083949225593877,0.9818937886303242,0.2039648904365915,0.2039648904365915,0,,0.2557130427598099
bm,tbl,1200,0.003926866075626436,0.01138820130803903,0.9882085613171139,0.18528382473802507,0.18528382473802507,0,,0.251119220813908
bm,dfy,1200,0.003926866075626436,0.01138820130803903,0.9882085613171139,0.1689681732254381,0.1689681732254381,0,,0.234803569301321
ntis,bm,1188,-0.003766180660359175,0.016083949225593877,0.9818937886303242,0.17774007483129073,0.17774007483129073,0,,0.22948822715450912
dfy,lty,1200,0.0026104702211980552,0.09276545952575627,0.9750201479813873,0.9842007069208257,0.9842007069208257,0,,0.22285881184876738
dp,bm,1200,0.002503911357010812,0.10689814613007097,0.9954066876980087,0.978015717690383,0.978015717690383,0,,0.217779392890078
ntis,tbl,1188,-0.003766180660359175,0.016083949225593877,0.9818937886303242,0.16475459916230117,0.16475459916230117,0,,0.21650275148551956
dfy,infl,1200,0.0026104702211980552,0.09276545952575627,0.9750201479813873,0.9346548949058617,0.9346548949058617,0,,0.21047235884502635
dfy,tbl,1200,0.0026104702211980552,0.09276545952575627,0.9750201479813873,0.9330952959563348,0.9330952959563348,0,,0.21008245910764461
dfy,ntis,1188,0.0026393936757352398,0.09183149918210477,0.9750601456514437,0.9260821065579139,0.9260821065579139,0,,0.20856265184395228
tbl,lty,1200,-0.0029379674225502596,0.05846786977070826,0.9931173574233663,0.8795899439304127,0.8795899439304127,0,,0.2052805185399261
ntis,lty,1188,-0.003766180660359175,0.016083949225593877,0.9818937886303242,0.151897457392683,0.151897457392683,0,,0.2036456097159014
bm,infl,1200,0.003926866075626436,0.01138820130803903,0.9882085613171139,0.12669148923672968,0.12669148923672968,0,,0.19252688531261258
dy,bm,1200,0.0028931327695671783,0.062426275066895846,0.9954074381994035,0.7972642211629178,0.7972642211629178,0,,0.1837094865240055
dfy,tms,1200,0.0026104702211980552,0.09276545952575627,0.9750201479813873,0.8161835543007571,0.8161835543007571,0,,0.1808545236937502
ntis,infl,1188,-0.003766180660359175,0.016083949225593877,0.9818937886303242,0.11123958089564379,0.11123958089564379,0,,0.16298773321886217
ntis,tms,1188,-0.003766180660359175,0.016083949225593877,0.9818937886303242,0.10837604568573322,0.10837604568573322,0,,0.1601241980089516
dfy,svar,1200,0.0026104702211980552,0.09276545952575627,0.9750201479813873,0.7176727294376712,0.7176727294376712,0,,0.15622681747797873
dfy,ep,1200,0.0026104702211980552,0.09276545952575627,0.9750201479813873,0.6946052887182179,0.6946052887182179,0,,0.1504599572981154
tms,tbl,1200,0.0016612786703265369,0.28489455486436716,0.9648543809376331,0.8273550241097537,0.8273550241097537,0,,0.13561511731134662
ntis,svar,1188,-0.003766180660359175,0.016083949225593877,0.9818937886303242,0.08254070260504509,0.08254070260504509,0,,0.13428885492826348
dp,lty,1200,0.002503911357010812,0.10689814613007097,0.9954066876980087,0.5831521943929854,0.5831521943929854,0,,0.1190635120657286
dy,lty,1200,0.0028931327695671783,0.062426275066895846,0.9954074381994035,0.511258101163097,0.511258101163097,0,,0.11220795652405029
lty,tbl,1200,-0.002407580351040735,0.12109322965471693,0.9961837918213344,0.5421486145205432,0.5421486145205432,0,,0.10526384621645657
svar,tbl,1200,0.0008553226944168302,0.5819855446063865,0.5742870656942524,0.9777634495277591,0.9777634495277591,0,,0.09894447623034314
ntis,ep,1188,-0.003766180660359175,0.016083949225593877,0.9818937886303242,0.03986994311031544,0.03986994311031544,0,,0.09161809543353382
dp,tms,1200,0.002503911357010812,0.10689814613007097,0.9954066876980087,0.4291750347389037,0.4291750347389037,0,,0.08056922215220819
svar,dfy,1200,0.0008553226944168302,0.5819855446063865,0.5742870656942524,0.8986954320636132,0.8986954320636132,0,,0.07917747186430668
dfr,tbl,1199,0.001366237888272306,0.379573518976969,-0.10287447063520125,0.6920983818017403,0.6920983818017403,0,,0.07813121570619283
dy,tms,1200,0.0028931327695671783,0.062426275066895846,0.9954074381994035,0.363263297652072,0.363263297652072,0,,0.07520925564629403
dfr,lty,1199,0.001366237888272306,0.379573518976969,-0.10287447063520125,0.6671726098454556,0.6671726098454556,0,,0.07189977271712164
svar,tms,1200,0.0008553226944168302,0.5819855446063865,0.5742870656942524,0.866427356399533,0.866427356399533,0,,0.07111045294828663
svar,lty,1200,0.0008553226944168302,0.5819855446063865,0.5742870656942524,0.8593577075046953,0.8593577075046953,0,,0.0693430407245772
dfr,infl,1199,0.001366237888272306,0.379573518976969,-0.10287447063520125,0.6515817083672171,0.6515817083672171,0,,0.06800204734756202
dfr,tms,1199,0.001366237888272306,0.379573518976969,-0.10287447063520125,0.6479235751993853,0.6479235751993853,0,,0.06708751405560406
tms,bm,1200,0.0016612786703265369,0.28489455486436716,0.9648543809376331,0.5467816136871541,0.5467816136871541,0,,0.06547176470569673
dfr,ep,1199,0.001366237888272306,0.379573518976969,-0.10287447063520125,0.6395517343732138,0.6395517343732138,0,,0.06499455384906119
dfr,ntis,1188,0.0013466082675471333,0.3899462981675911,-0.10321107408059298,0.6499167320200565,0.6499167320200565,0,,0.06499260846311636
