T,basis,m_type,rho,phi,batches,iterations_per_batch,K,valid_replications,size_5,size_5_error_abs,mean,mean_error_abs,var,var_error_abs,q95,q95_error_abs,ks_stat,ks_p,smoothness,dimension,lower_bound,selected_K,upper_bound,bound_region
500,legendre,rough,0.99,0.5,10,50,1,500,0.064,0.013999999999999999,1.0879825332349256,0.08798253323492555,2.5438732578978245,0.5438732578978245,4.595108882249425,0.7536500615553012,0.03208687152810208,0.6696822404325353,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,0.99,0.5,10,50,2,500,0.074,0.023999999999999994,1.1789898893755848,0.1789898893755848,2.827247966853154,0.8272479668531538,4.355340314808126,0.5138814941140022,0.052849653983020384,0.11813942138252842,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,0.99,0.5,10,50,4,500,0.054,0.003999999999999997,1.0384960178079863,0.03849601780798628,1.8350546030478199,0.16494539695218013,3.9187570485519223,0.07729822785779827,0.032443534142151786,0.6562304914868686,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,0.99,0.5,10,50,6,500,0.044,0.006000000000000005,0.96316889159448,0.03683110840551995,2.0176735969416937,0.01767359694169368,3.655860396315271,0.1855984243788531,0.03050438674882827,0.7288310067818409,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,0.99,0.5,10,50,8,500,0.068,0.018000000000000002,1.0730036846537956,0.07300368465379559,2.2104505911264667,0.2104505911264667,4.009079252304206,0.16762043161008178,0.028377062458938007,0.8046042975147749,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,0.99,0.5,10,50,12,500,0.042,0.008,1.0115237550581628,0.011523755058162832,1.6784129720851058,0.32158702791489424,3.4061119079314586,0.43534691276266546,0.05750059063645924,0.07047205656034894,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,0.99,0.5,10,50,16,500,0.064,0.013999999999999999,1.2113890941536531,0.21138909415365315,2.829440736770834,0.8294407367708341,4.127080169225496,0.2856213485313721,0.07955853624429715,0.0033605299316119184,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,0.99,0.5,10,50,20,500,0.08,0.03,1.226602412371408,0.2266024123714081,3.084639126912602,1.084639126912602,4.625794382025618,0.7843355613314942,0.05939046192948183,0.056420170805773995,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,0.99,0.5,10,50,30,500,0.08,0.03,1.1901662640785697,0.19016626407856974,2.8159393887030246,0.8159393887030246,4.548242405503892,0.7067835848097679,0.058201152295174696,0.0649499054705669,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,0.99,0.5,10,50,50,500,0.09,0.039999999999999994,1.2816984226213604,0.28169842262136036,3.4675812666349453,1.4675812666349453,5.198390944757306,1.356932124063182,0.0683827781977232,0.017747861876184715,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,0.99,0.5,10,50,100,500,0.064,0.013999999999999999,1.146485685364433,0.14648568536443296,2.5593999771495017,0.5593999771495017,4.484142819217089,0.6426839985229651,0.05129517950135387,0.13904388278490765,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,0.99,0.5,10,50,150,500,0.086,0.03599999999999999,1.239883559759389,0.2398835597593889,3.1246937872623968,1.1246937872623968,5.165062407552702,1.3236035868585776,0.06588086630698131,0.024887881651580068,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,0.99,0.5,10,50,200,500,0.086,0.03599999999999999,1.2697917596190849,0.26979175961908486,3.196645270078052,1.196645270078052,5.0054352950636956,1.1639764743695715,0.08173862265126786,0.0023587463929940606,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
