T,basis,m_type,x_w_loading,rho,phi,batches,iterations_per_batch,K,valid_replications,size_5,size_5_error_abs,mean,mean_error_abs,var,var_error_abs,q95,q95_error_abs,ks_stat,ks_p,smoothness,dimension,lower_bound,selected_K,upper_bound,bound_region
500,legendre,rough,0.0,0.99,0.5,8,30,1,240,0.07083333333333333,0.02083333333333333,1.17110774658329,0.17110774658328998,3.2435085233107963,1.2435085233107963,4.916941056537401,1.075482235843277,0.0560868715281021,0.4217022957350266,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,0.0,0.99,0.5,8,30,2,240,0.075,0.024999999999999994,1.2037954639746837,0.20379546397468373,2.9376798676185008,0.9376798676185008,4.4445512308711965,0.6030924101770725,0.06934036962106399,0.18972635170643615,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,0.0,0.99,0.5,8,30,4,240,0.0375,0.012500000000000004,0.988637523362289,0.01136247663771095,1.499945892764164,0.500054107235836,3.304804315333062,0.5366545053610619,0.0454610488498009,0.6866357069413687,2.0,1.0,4.728708045015879,8,22.360679774997898,below_lower_bound
500,legendre,rough,0.0,0.99,0.5,8,30,6,240,0.058333333333333334,0.008333333333333331,1.1438183198757252,0.14381831987572524,2.8309923843194813,0.8309923843194813,4.691458819570669,0.849999998876545,0.06458457043666188,0.2581458449018157,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,0.0,0.99,0.5,8,30,8,240,0.08333333333333333,0.033333333333333326,1.2089550583250808,0.20895505832508077,2.673407106735055,0.6734071067350551,5.011418092261023,1.1699592715668987,0.06567727702869541,0.24100222839738328,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,0.0,0.99,0.5,8,30,12,240,0.05416666666666667,0.004166666666666666,1.0550592099912424,0.055059209991242364,1.6734854881098078,0.3265145118901922,4.014424981790098,0.17296616109597407,0.07236813556346222,0.1541192670038366,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,0.0,0.99,0.5,8,30,16,240,0.04583333333333333,0.004166666666666673,1.247951541495629,0.24795154149562904,3.2362101650837802,1.2362101650837802,3.812757583524411,0.028701237169713067,0.0999954015127133,0.01530606539813424,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,0.0,0.99,0.5,8,30,20,240,0.075,0.024999999999999994,1.1710390833233222,0.17103908332332218,3.3467509385866214,1.3467509385866214,4.646740141620755,0.8052813209266314,0.042905652549351414,0.7522125539082832,2.0,1.0,4.728708045015879,8,22.360679774997898,inside_window
500,legendre,rough,0.0,0.99,0.5,8,30,30,240,0.075,0.024999999999999994,1.206421950665918,0.20642195066591795,3.0066598237815563,1.0066598237815563,4.6493361744320625,0.8078773537379385,0.08232378877266827,0.07303453915188596,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,0.0,0.99,0.5,8,30,50,240,0.09583333333333334,0.04583333333333334,1.3395818223382177,0.33958182233821765,4.534017702386487,2.534017702386487,5.72792442545808,1.886465604763956,0.06855225137884602,0.1999750249162181,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,0.0,0.99,0.5,8,30,100,240,0.07916666666666666,0.02916666666666666,1.2988715867498395,0.2988715867498395,2.948988269670686,0.9489882696706862,4.73323885105371,0.8917800303595862,0.11641296996038142,0.0027302281582735474,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
500,legendre,rough,0.0,0.99,0.5,8,30,150,240,0.09166666666666666,0.04166666666666666,1.2813857607501504,0.2813857607501504,3.4028784770190503,1.4028784770190503,5.700049939847612,1.858591119153488,0.07305194075274135,0.146867427666157,2.0,1.0,4.728708045015879,8,22.360679774997898,above_upper_bound
