T,rho_label,rho_value,K,weight_b,method,n,mean_abs_DS,sd_DS,mean_abs_DV,sd_DV,mean_RE,mean_oracle_var,mean_instrument_var,mean_efficient_var
100,local_to_unity,0.95,6,8.0,profile_bounded,2000,0.0013146731615727397,0.002186359349109105,0.05456485071577005,0.05458780158610456,0.9941874220998861,0.0712934901047723,0.07117191039902154,5.800027845691705
100,stationary_high,0.95,6,8.0,profile_bounded,2000,0.0013435746334978704,0.002261886412565267,0.05493706348766635,0.056098664210860856,0.9941679134123422,0.07174676809202823,0.07138741352411312,5.816556644759126
100,stationary_low,0.5,6,8.0,profile_bounded,2000,0.0014102697132245263,0.002625036935827147,0.059439493963404935,0.06012077610949248,0.9997568057004269,0.016433440423662158,0.0164317995537572,1.0941840050103626
100,unit_root,1.0,6,8.0,profile_bounded,2000,0.001302576492110289,0.002283137251712807,0.05696892574167733,0.059704422346102314,0.9491342826963862,0.09745744563389953,0.0965939129103554,15.568370334166076
250,local_to_unity,0.98,6,8.0,profile_bounded,2000,0.002145199414543732,0.0033197714847040855,0.021808819052809732,0.02189231099844256,0.978311612230747,0.14400307114440253,0.14397659240138347,14.86386625955342
250,stationary_high,0.95,6,8.0,profile_bounded,2000,0.0021011523445687904,0.0032512805754011643,0.02256963260319641,0.023402549989650506,0.9930289331412564,0.09643872858116387,0.09619071065975307,7.89321134580992
250,stationary_low,0.5,6,8.0,profile_bounded,2000,0.0022581974786899215,0.0034537395779249687,0.024284532115185713,0.025748862891697918,0.9997356105823684,0.0174537885042945,0.01745074535034139,1.1621026752051022
250,unit_root,1.0,6,8.0,profile_bounded,2000,0.0021245240707873226,0.003258463111847399,0.025488258093318512,0.02924613329045583,0.880702746373822,0.15667182432960022,0.15652097514036098,40.074515003425994
500,local_to_unity,0.99,6,8.0,profile_bounded,2000,0.0029039763592350974,0.0042547657996044866,0.011939037168778496,0.011792831176944732,0.9497249843330768,0.22579474742489244,0.2256680976054314,31.02794777718655
500,stationary_high,0.95,6,8.0,profile_bounded,2000,0.0026625661318542483,0.0037979938728343217,0.01179727538448796,0.011919237594272847,0.9924398111769477,0.1089141189065731,0.1089030709506325,8.985220554642249
500,stationary_low,0.5,6,8.0,profile_bounded,2000,0.003009011712219876,0.004299781474860247,0.01229918939926477,0.013082818092564175,0.9997284521764686,0.01777928109105291,0.01781840635770715,1.1868258380743544
500,unit_root,1.0,6,8.0,profile_bounded,2000,0.0027427105297915463,0.00402156486134418,0.014592769152585916,0.01815883281393681,0.8032695162694371,0.20441438010589225,0.205102807261735,80.18634539908237
