method,rho_label,rho,q0,delta,true_break,qhat,estimated_break,break_abs_error,el_stat,p_value,reject_5,feasible,score,score_variance,rss,strength,score_gap_stable_minus_estimated,rep,T,K,min_size,grid_step,penalty
stable,0.50,0.5,0,0.0,,1,140.0,,0.0984874039740897,0.7536524147329352,False,True,0.14719938356186615,0.22032813099259585,194.4307049691543,0.2976144800232704,-0.2003447312515181,0,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,1,140.0,,0.0984874039740897,0.7536524147329352,False,True,0.14719938356186615,0.22032813099259585,194.4307049691543,0.2976144800232704,-0.2003447312515181,0,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,1,140.0,,0.6064768529119154,0.436117429452459,False,True,0.34754411481338426,0.19910981728552954,180.0150094551119,0.2881164719193707,-0.2003447312515181,0,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.06002037518439318,0.8064637396024351,False,True,-0.14779670391977454,0.36232284015642313,251.7676574212683,0.3454253774775594,0.0,1,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.06002037518439318,0.8064637396024351,False,True,-0.14779670391977454,0.36232284015642313,251.7676574212683,0.3454253774775594,0.0,1,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.06002037518439318,0.8064637396024351,False,True,-0.14779670391977454,0.36232284015642313,251.7676574212683,0.3454253774775594,0.0,1,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.919132462596344,0.33770286239818614,False,True,-0.5384578246116419,0.31911733046186014,232.238838069215,0.33507031259649067,0.0,2,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.919132462596344,0.33770286239818614,False,True,-0.5384578246116419,0.31911733046186014,232.238838069215,0.33507031259649067,0.0,2,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.919132462596344,0.33770286239818614,False,True,-0.5384578246116419,0.31911733046186014,232.238838069215,0.33507031259649067,0.0,2,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.18199983589947882,0.669660216416773,False,True,-0.2430932381327179,0.3238297470876435,230.62096310977432,0.32066384995789754,0.0,3,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.18199983589947882,0.669660216416773,False,True,-0.2430932381327179,0.3238297470876435,230.62096310977432,0.32066384995789754,0.0,3,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.18199983589947882,0.669660216416773,False,True,-0.2430932381327179,0.3238297470876435,230.62096310977432,0.32066384995789754,0.0,3,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,1.9304962009047912,0.16470416824787737,False,True,-0.85480437745991,0.39067701751511164,255.3077927237143,0.363345716812244,0.0,4,240,4,60,4,0.75
